Timestamp,SCOP:AMRF:RF01:AI_MEAS1
2024/03/24 12:59:54.981,-0.097
2024/03/24 14:59:53.994,-0.093
2024/03/24 16:59:59.679,-0.093
2024/03/24 18:59:59.986,-0.095
2024/03/24 20:59:53.057,-0.097
2024/03/24 22:59:52.851,-0.093
2024/03/25 00:53:59.767,-0.095
2024/03/25 02:59:59.960,-0.097
2024/03/25 04:59:59.488,-0.093
2024/03/25 06:59:51.430,-0.103
2024/03/25 08:59:59.487,-0.095
2024/03/25 10:59:57.485,-0.193
2024/03/25 12:59:53.107,-0.219
2024/03/25 14:39:45.240,-0.4309922
2024/03/25 16:52:20.603,-0.097
2024/03/25 18:59:59.635,-0.097
2024/03/25 20:59:58.976,-0.099
2024/03/25 22:58:58.011,-0.159
2024/03/26 00:59:59.956,-0.197
2024/03/26 02:56:37.182,-0.205
2024/03/26 04:59:55.782,-0.135
2024/03/26 05:39:50.382,-0.141
2024/03/29 18:59:53.359,-0.101
2024/03/29 20:59:53.347,-0.109
2024/03/29 22:59:59.890,-0.099
2024/03/30 00:59:59.387,-0.107
2024/03/30 02:34:01.513,-0.103
2024/03/30 04:59:59.101,-0.097
2024/03/30 06:59:58.286,-0.105
2024/03/30 08:59:59.609,-0.107
2024/03/30 10:59:55.338,-0.103
2024/03/30 12:59:51.794,-0.101
2024/03/30 14:59:59.956,-0.099
2024/03/30 16:54:37.514,-0.107
2024/03/30 18:59:51.949,-0.085
2024/03/30 20:59:49.880,-0.133
2024/03/30 22:43:05.048,-0.127
2024/03/31 10:59:52.080,-0.221
2024/03/31 12:26:57.195,-0.097
2024/03/31 14:59:59.552,-0.083
2024/03/31 16:41:28.228,-0.103
2024/03/31 18:59:53.478,-0.107
2024/03/31 20:42:36.043,-0.111
2024/04/01 00:58:14.354,-0.111
2024/04/01 04:59:58.637,-0.119
2024/04/01 06:59:59.672,-0.101
2024/04/01 08:59:58.302,-0.105
2024/04/01 09:09:59.326,-0.091
2024/04/01 12:59:59.514,-0.085
2024/04/01 14:59:59.713,-0.085
2024/04/01 16:48:32.142,-0.083
2024/04/01 18:59:58.767,-0.095
2024/04/01 20:59:57.325,-0.095
2024/04/01 22:59:56.505,-0.093
2024/04/02 00:57:29.968,-0.097
2024/04/02 02:59:59.508,-0.091
2024/04/02 04:59:55.130,-0.091
2024/04/02 06:59:51.470,-0.097
2024/04/02 08:44:14.624,-0.071
2024/04/02 09:31:03.871,-0.091
2024/04/02 12:59:59.963,-0.085
2024/04/02 14:59:58.908,-0.119
2024/04/02 16:59:51.910,-0.173
2024/04/02 18:59:57.801,-0.089
2024/04/02 20:59:59.379,-0.085
2024/04/02 22:29:17.857,-0.089
2024/04/03 00:59:49.795,-0.091
2024/04/03 02:59:53.989,-0.087
2024/04/03 04:59:50.559,-0.085
2024/04/03 06:52:12.005,-0.085
2024/04/03 07:43:02.751,-0.149
2024/04/03 10:59:56.714,-0.089
2024/04/03 12:59:50.839,-0.083
2024/04/03 14:59:55.408,-0.085
2024/04/03 16:59:59.334,-0.087
2024/04/03 18:59:59.914,-0.089
2024/04/03 20:59:52.163,-0.087
