Timestamp,BPMS:GUNB:925:FW:X_SLOW,BPMS:GUNB:925:FW:Y_SLOW,SCOP:AMRF:RF01:AI_MEAS1
2024/02/24 18:41:20.374,3.2189120483398437,0.7710769653320313,N/A
2024/02/24 18:41:21.452,-4.644735870361329,0.6516268920898438,N/A
2024/02/24 18:41:22.432,-4.598382110595703,0.7162547302246094,N/A
2024/02/24 18:41:23.412,-4.542222747802734,0.7247232055664062,N/A
2024/02/24 18:41:24.392,-3.6623927307128907,0.6930778503417969,N/A
2024/02/24 18:41:25.372,-3.7189978027343753,0.5936846923828125,N/A
2024/02/24 18:41:26.450,-3.7871913146972656,0.6471697998046875,N/A
2024/02/24 18:41:27.430,-2.7879112243652346,0.5910104370117187,N/A
2024/02/24 18:41:28.410,-2.763397216796875,0.5829876708984375,N/A
2024/02/24 18:41:28.868,N/A,N/A,-0.407
2024/02/24 18:41:29.390,-2.7923683166503905,N/A,N/A
2024/02/24 18:41:29.408,N/A,N/A,-0.413
2024/02/24 18:41:30.027,N/A,N/A,-0.249
2024/02/24 18:41:30.370,-1.923235321044922,N/A,N/A
2024/02/24 18:41:30.603,N/A,N/A,-0.231
2024/02/24 18:41:31.160,N/A,N/A,-0.223
2024/02/24 18:41:31.448,-1.2582371520996094,N/A,N/A
2024/02/24 18:41:32.253,N/A,N/A,-0.097
2024/02/24 18:41:32.428,-0.8570988464355469,N/A,N/A
2024/02/24 18:41:32.859,N/A,N/A,-0.093
2024/02/24 18:41:33.408,-0.8397161865234375,N/A,N/A
2024/02/24 18:41:33.457,N/A,N/A,-0.099
2024/02/24 18:41:34.035,N/A,N/A,-0.085
2024/02/24 18:41:34.388,0.10028457641601562,N/A,N/A
2024/02/24 18:41:34.576,N/A,N/A,-0.083
2024/02/24 18:41:35.368,0.10652450561523438,N/A,N/A
2024/02/24 18:41:35.683,N/A,N/A,-0.089
2024/02/24 18:41:36.274,N/A,N/A,-0.257
2024/02/24 18:41:36.446,1.1650839233398438,N/A,N/A
2024/02/24 18:41:36.858,N/A,N/A,-0.267
2024/02/24 18:41:37.418,N/A,N/A,-0.251
2024/02/24 18:41:37.426,1.6170330810546876,N/A,N/A
2024/02/24 18:41:38.159,N/A,N/A,-0.4309922
2024/02/24 18:41:38.406,2.156341247558594,N/A,N/A
2024/02/24 18:41:39.386,2.105976104736328,N/A,N/A
2024/02/24 18:41:40.366,3.1123875427246093,N/A,N/A
2024/02/24 18:41:41.444,3.0352798461914063,N/A,N/A
2024/02/24 18:41:42.424,-1.0416224670410157,0.29015670776367186,N/A
2024/02/24 18:41:42.780,N/A,N/A,-0.379
2024/02/24 18:41:43.404,-4.5212744140625,0.33873901367187503,N/A
2024/02/24 18:41:43.456,N/A,N/A,-0.4309922
2024/02/24 18:41:44.384,-4.550245513916016,0.3186820983886719,N/A
2024/02/24 18:41:45.364,-4.5930335998535154,0.38330993652343753,N/A
2024/02/24 18:41:46.442,-3.701615142822266,0.30174514770507815,N/A
2024/02/24 18:41:47.422,-3.678438262939453,0.2785682678222656,N/A
2024/02/24 18:41:48.402,-3.6196046447753907,0.28391677856445313,N/A
2024/02/24 18:41:49.236,N/A,N/A,-0.383
2024/02/24 18:41:49.382,-2.8547676086425784,0.23934585571289063,N/A
2024/02/24 18:41:50.362,-2.749134521484375,0.21215759277343751,N/A
2024/02/24 18:41:51.440,-1.76857421875,0.34007614135742187,N/A
2024/02/24 18:41:52.420,-1.799773864746094,0.1978948974609375,N/A
2024/02/24 18:41:53.337,N/A,N/A,-0.101
2024/02/24 18:41:53.400,-0.8316934204101563,N/A,N/A
2024/02/24 18:41:54.380,-0.9297494506835938,N/A,N/A
2024/02/24 18:41:55.013,N/A,N/A,-0.093
2024/02/24 18:41:55.360,0.026296844482421877,N/A,N/A
2024/02/24 18:41:55.579,N/A,N/A,-0.105
2024/02/24 18:41:56.138,N/A,N/A,-0.099
2024/02/24 18:41:56.438,0.6997634887695313,N/A,N/A
2024/02/24 18:41:56.754,N/A,N/A,-0.229
2024/02/24 18:41:57.326,N/A,N/A,-0.311
2024/02/24 18:41:57.418,1.1187301635742188,N/A,N/A
2024/02/24 18:41:57.914,N/A,N/A,-0.305
2024/02/24 18:41:58.398,1.1543869018554689,N/A,N/A
2024/02/24 18:41:58.471,N/A,N/A,-0.311
2024/02/24 18:41:59.064,N/A,N/A,-0.4309922
2024/02/24 18:41:59.378,2.0172799682617186,N/A,N/A
2024/02/24 18:42:00.358,2.078787841796875,N/A,N/A
2024/02/24 18:42:01.436,3.090102081298828,N/A,N/A
2024/02/24 18:42:02.416,3.094113464355469,N/A,N/A
2024/02/24 18:42:03.090,N/A,N/A,-0.335
2024/02/24 18:42:03.396,-4.027874298095703,N/A,N/A
2024/02/24 18:42:03.707,N/A,N/A,-0.341
2024/02/24 18:42:04.376,-4.508794555664062,N/A,N/A
2024/02/24 18:42:05.356,-4.599273529052734,N/A,N/A
2024/02/24 18:42:06.434,-3.757328796386719,-0.013816986083984375,N/A
2024/02/24 18:42:07.414,-3.7328147888183594,0.026296844482421877,N/A
2024/02/24 18:42:08.394,-3.7319233703613284,-0.08334762573242188,N/A
2024/02/24 18:42:09.374,-2.7317518615722656,-0.07354202270507813,N/A
2024/02/24 18:42:10.452,-2.297631072998047,-0.020948333740234377,N/A
2024/02/24 18:42:11.432,-1.7387117004394532,-0.07086776733398438,N/A
2024/02/24 18:42:12.412,-1.6972607421875001,-0.08334762573242188,N/A
2024/02/24 18:42:12.989,N/A,N/A,-0.099
2024/02/24 18:42:13.392,-0.7011006164550782,-0.210374755859375,N/A
2024/02/24 18:42:13.540,N/A,N/A,-0.107
2024/02/24 18:42:14.116,N/A,N/A,-0.101
2024/02/24 18:42:14.372,-0.6574211120605469,-0.18764358520507812,N/A
2024/02/24 18:42:14.669,N/A,N/A,-0.105
2024/02/24 18:42:15.197,N/A,N/A,-0.153
2024/02/24 18:42:15.450,0.18229507446289064,-0.07443344116210937,N/A
2024/02/24 18:42:15.751,N/A,N/A,-0.137
2024/02/24 18:42:16.296,N/A,N/A,-0.145
2024/02/24 18:42:16.430,0.2669798278808594,-0.2277574157714844,N/A
2024/02/24 18:42:16.844,N/A,N/A,-0.169
2024/02/24 18:42:17.410,1.317070770263672,N/A,N/A
2024/02/24 18:42:17.489,N/A,N/A,-0.357
2024/02/24 18:42:18.101,N/A,N/A,-0.347
2024/02/24 18:42:18.390,1.3589674377441407,N/A,N/A
2024/02/24 18:42:18.651,N/A,N/A,-0.371
2024/02/24 18:42:19.278,N/A,N/A,-0.4309922
2024/02/24 18:42:19.370,2.3274935913085937,N/A,N/A
2024/02/24 18:42:20.448,2.93098388671875,N/A,N/A
2024/02/24 18:42:21.428,3.2822027587890625,N/A,N/A
2024/02/24 18:42:22.408,3.315185241699219,N/A,N/A
2024/02/24 18:42:23.372,N/A,N/A,-0.195
2024/02/24 18:42:23.388,-3.7885284423828125,N/A,N/A
2024/02/24 18:42:23.982,N/A,N/A,-0.4309922
2024/02/24 18:42:24.368,-4.604176330566406,N/A,N/A
2024/02/24 18:42:25.446,-4.7405633544921875,N/A,N/A
2024/02/24 18:42:26.426,-3.8076939392089844,N/A,N/A
2024/02/24 18:42:27.406,-3.904412841796875,N/A,N/A
2024/02/24 18:42:28.386,-3.2166835021972657,N/A,N/A
2024/02/24 18:42:29.123,N/A,N/A,-0.357
2024/02/24 18:42:29.366,-2.851201934814453,N/A,N/A
2024/02/24 18:42:29.666,N/A,N/A,-0.345
2024/02/24 18:42:30.187,N/A,N/A,-0.347
2024/02/24 18:42:30.444,-2.321699371337891,N/A,N/A
2024/02/24 18:42:30.739,N/A,N/A,-0.165
2024/02/24 18:42:31.290,N/A,N/A,-0.167
2024/02/24 18:42:31.424,-1.6994892883300783,-0.29639663696289065,N/A
2024/02/24 18:42:31.839,N/A,N/A,-0.169
2024/02/24 18:42:32.397,N/A,N/A,-0.177
2024/02/24 18:42:32.404,-1.7097406005859375,-0.2692083740234375,N/A
2024/02/24 18:42:32.986,N/A,N/A,-0.117
2024/02/24 18:42:33.384,-0.46754898071289064,-0.21973464965820313,N/A
2024/02/24 18:42:34.364,-0.6070559692382813,-0.4136181640625,N/A
2024/02/24 18:42:34.702,N/A,N/A,-0.133
2024/02/24 18:42:35.252,N/A,N/A,-0.215
2024/02/24 18:42:35.442,0.4461549377441406,-0.44437210083007816,N/A
2024/02/24 18:42:35.811,N/A,N/A,-0.223
2024/02/24 18:42:36.373,N/A,N/A,-0.213
2024/02/24 18:42:36.422,0.46264617919921874,-0.4167381286621094,N/A
2024/02/24 18:42:36.978,N/A,N/A,-0.421
2024/02/24 18:42:37.402,1.549730987548828,-0.3953440856933594,N/A
2024/02/24 18:42:38.131,N/A,N/A,-0.409
2024/02/24 18:42:38.382,1.5711250305175781,-0.42698944091796875,N/A
2024/02/24 18:42:39.337,N/A,N/A,-0.4309922
2024/02/24 18:42:39.362,2.6310215759277344,-0.4581890869140625,N/A
2024/02/24 18:42:40.440,3.18771240234375,-0.4461549377441406,N/A
2024/02/24 18:42:41.420,3.7506431579589843,-0.602598876953125,N/A
2024/02/24 18:42:42.400,3.799671173095703,N/A,N/A
2024/02/24 18:42:43.380,-4.4107385253906255,N/A,N/A
2024/02/24 18:42:43.386,N/A,N/A,-0.153
2024/02/24 18:42:44.010,N/A,N/A,-0.4309922
2024/02/24 18:42:44.360,-4.931326904296875,N/A,N/A
2024/02/24 18:42:45.438,-4.982583465576172,N/A,N/A
2024/02/24 18:42:46.418,-3.860733337402344,N/A,N/A
2024/02/24 18:42:47.398,-3.8326536560058595,N/A,N/A
2024/02/24 18:42:47.421,N/A,N/A,-0.413
2024/02/24 18:42:48.086,N/A,N/A,-0.4309922
2024/02/24 18:42:48.378,-3.8576133728027346,N/A,N/A
2024/02/24 18:42:49.358,-2.803956756591797,N/A,N/A
2024/02/24 18:42:50.436,-2.0747764587402346,N/A,N/A
2024/02/24 18:42:51.416,-1.5818220520019532,N/A,N/A
2024/02/24 18:42:51.518,N/A,N/A,-0.169
2024/02/24 18:42:52.083,N/A,N/A,-0.159
2024/02/24 18:42:52.396,-1.6014332580566406,N/A,N/A
2024/02/24 18:42:52.657,N/A,N/A,-0.119
2024/02/24 18:42:53.272,N/A,N/A,-0.113
2024/02/24 18:42:53.376,-0.44125213623046877,N/A,N/A
2024/02/24 18:42:53.840,N/A,N/A,-0.099
2024/02/24 18:42:54.356,-0.5406452941894532,N/A,N/A
2024/02/24 18:42:54.378,N/A,N/A,-0.101
2024/02/24 18:42:54.950,N/A,N/A,-0.255
2024/02/24 18:42:55.434,0.7946995544433594,N/A,N/A
2024/02/24 18:42:55.525,N/A,N/A,-0.251
2024/02/24 18:42:56.072,N/A,N/A,-0.273
2024/02/24 18:42:56.414,1.3331163024902344,-0.4189666748046875,N/A
2024/02/24 18:42:56.648,N/A,N/A,-0.353
2024/02/24 18:42:57.245,N/A,N/A,-0.4309922
2024/02/24 18:42:57.394,1.9945487976074219,-0.42966369628906254,N/A
2024/02/24 18:42:58.374,2.0261941528320313,-0.37127578735351563,N/A
2024/02/24 18:42:59.452,2.9773376464843753,-0.4960743713378906,N/A
2024/02/24 18:43:00.432,3.086536407470703,-0.41584671020507813,N/A
2024/02/24 18:43:01.412,4.46021224975586,-0.4555148315429688,N/A
2024/02/24 18:43:02.392,4.452189483642578,-0.4617547607421875,N/A
2024/02/24 18:43:03.372,-4.515034484863281,0.24291152954101564,N/A
2024/02/24 18:43:04.450,-5.1247647094726565,0.16624954223632812,N/A
2024/02/24 18:43:05.430,-5.281208648681641,0.34319610595703126,N/A
2024/02/24 18:43:06.410,-4.0528340148925786,0.2224089050292969,N/A
2024/02/24 18:43:07.390,-4.154901428222656,N/A,N/A
2024/02/24 18:43:08.370,-4.173175506591797,N/A,N/A
2024/02/24 18:43:09.448,-2.869476013183594,N/A,N/A
2024/02/24 18:43:10.428,-1.8871328735351562,N/A,N/A
2024/02/24 18:43:10.962,N/A,N/A,-0.143
2024/02/24 18:43:11.408,-1.4855488586425782,N/A,N/A
2024/02/24 18:43:11.543,N/A,N/A,-0.131
2024/02/24 18:43:12.077,N/A,N/A,-0.145
2024/02/24 18:43:12.388,-1.6428842163085937,N/A,N/A
2024/02/24 18:43:12.654,N/A,N/A,-0.113
2024/02/24 18:43:13.263,N/A,N/A,-0.101
2024/02/24 18:43:13.368,-0.10741592407226563,N/A,N/A
2024/02/24 18:43:13.801,N/A,N/A,-0.099
2024/02/24 18:43:14.347,N/A,N/A,-0.103
2024/02/24 18:43:14.446,0.4991943359375,N/A,N/A
2024/02/24 18:43:14.884,N/A,N/A,-0.167
2024/02/24 18:43:15.426,1.1370042419433595,N/A,N/A
2024/02/24 18:43:15.476,N/A,N/A,-0.281
2024/02/24 18:43:16.047,N/A,N/A,-0.295
2024/02/24 18:43:16.406,1.1869236755371093,N/A,N/A
2024/02/24 18:43:16.623,N/A,N/A,-0.261
2024/02/24 18:43:17.237,N/A,N/A,-0.4309922
2024/02/24 18:43:17.386,2.4643263244628906,N/A,N/A
2024/02/24 18:43:18.366,2.400589904785156,N/A,N/A
2024/02/24 18:43:19.444,3.78674560546875,N/A,N/A
2024/02/24 18:43:20.424,3.7243463134765626,N/A,N/A
2024/02/24 18:43:21.404,5.0650396728515625,-0.17828369140625,N/A
2024/02/24 18:43:22.384,5.129667510986328,-0.13415847778320314,N/A
2024/02/24 18:43:23.364,-4.564508209228515,1.0545480346679688,N/A
2024/02/24 18:43:24.442,-5.533480072021485,1.0389482116699218,N/A
2024/02/24 18:43:25.422,-5.577159576416016,1.1026846313476564,N/A
2024/02/24 18:43:26.402,-4.179861145019531,1.0442967224121094,N/A
2024/02/24 18:43:27.382,-4.343436431884766,1.0113142395019532,N/A
2024/02/24 18:43:28.362,-4.408509979248047,0.9123667907714844,N/A
2024/02/24 18:43:29.418,N/A,N/A,-0.335
2024/02/24 18:43:29.440,-3.037062683105469,0.8664587402343751,N/A
2024/02/24 18:43:29.994,N/A,N/A,-0.319
2024/02/24 18:43:30.420,-2.9661949157714846,0.8490760803222657,N/A
2024/02/24 18:43:30.566,N/A,N/A,-0.331
2024/02/24 18:43:31.112,N/A,N/A,-0.151
2024/02/24 18:43:31.400,-1.5608737182617187,0.8718072509765625,N/A
2024/02/24 18:43:31.681,N/A,N/A,-0.143
2024/02/24 18:43:32.380,-1.4833203125,N/A,N/A
2024/02/24 18:43:32.808,N/A,N/A,-0.087
2024/02/24 18:43:33.360,0.000445709228515625,N/A,N/A
2024/02/24 18:43:33.381,N/A,N/A,-0.089
2024/02/24 18:43:33.928,N/A,N/A,-0.083
2024/02/24 18:43:34.438,0.5794219970703125,N/A,N/A
2024/02/24 18:43:34.487,N/A,N/A,-0.081
2024/02/24 18:43:35.064,N/A,N/A,-0.231
2024/02/24 18:43:35.418,1.3041452026367188,N/A,N/A
2024/02/24 18:43:35.623,N/A,N/A,-0.239
2024/02/24 18:43:36.165,N/A,N/A,-0.221
2024/02/24 18:43:36.398,1.2497686767578124,N/A,N/A
2024/02/24 18:43:36.815,N/A,N/A,-0.4309922
2024/02/24 18:43:37.378,2.7125863647460937,N/A,N/A
2024/02/24 18:43:38.358,2.7843455505371093,N/A,N/A
2024/02/24 18:43:39.436,4.104981994628907,N/A,N/A
2024/02/24 18:43:40.416,5.044091339111328,N/A,N/A
2024/02/24 18:43:41.396,5.577159576416016,N/A,N/A
2024/02/24 18:43:42.376,5.494257659912109,N/A,N/A
2024/02/24 18:43:43.356,-4.689306793212891,N/A,N/A
2024/02/24 18:43:44.434,-5.474646453857422,N/A,N/A
2024/02/24 18:43:45.414,-5.5406114196777345,N/A,N/A
2024/02/24 18:43:46.394,-4.258751678466797,1.8857957458496095,N/A
2024/02/24 18:43:47.374,-4.213735046386719,1.936160888671875,N/A
2024/02/24 18:43:48.452,-4.320705261230469,1.9120925903320314,N/A
2024/02/24 18:43:49.432,-3.058011016845703,1.8866871643066407,N/A
2024/02/24 18:43:50.412,-2.9176126098632813,1.8416705322265625,N/A
2024/02/24 18:43:51.392,-1.5898448181152345,1.7418316650390626,N/A
2024/02/24 18:43:52.372,-1.5599822998046875,1.7739227294921875,N/A
2024/02/24 18:43:53.450,-0.039668121337890626,1.7199919128417969,N/A
2024/02/24 18:43:53.924,N/A,N/A,-0.077
2024/02/24 18:43:54.430,-0.08067337036132813,1.7966539001464845,N/A
2024/02/24 18:43:54.450,N/A,N/A,-0.073
2024/02/24 18:43:54.999,N/A,N/A,-0.117
2024/02/24 18:43:55.410,1.24798583984375,1.709294891357422,N/A
2024/02/24 18:43:55.584,N/A,N/A,-0.125
2024/02/24 18:43:56.143,N/A,N/A,-0.133
2024/02/24 18:43:56.390,1.339801940917969,1.6535812377929688,N/A
2024/02/24 18:43:56.719,N/A,N/A,-0.139
2024/02/24 18:43:57.269,N/A,N/A,-0.341
2024/02/24 18:43:57.370,2.9176126098632813,N/A,N/A
2024/02/24 18:43:57.839,N/A,N/A,-0.331
2024/02/24 18:43:58.448,2.798162536621094,N/A,N/A
2024/02/24 18:43:58.454,N/A,N/A,-0.355
2024/02/24 18:43:59.017,N/A,N/A,-0.323
2024/02/24 18:43:59.428,4.296191253662109,N/A,N/A
2024/02/24 18:43:59.615,N/A,N/A,-0.4309922
2024/02/24 18:44:00.408,4.347447814941407,N/A,N/A
2024/02/24 18:44:01.388,4.285048522949219,N/A,N/A
2024/02/24 18:44:02.368,5.656495819091797,N/A,N/A
2024/02/24 18:44:03.446,4.794939880371094,N/A,N/A
2024/02/24 18:44:04.426,-5.319093933105469,N/A,N/A
2024/02/24 18:44:05.406,-5.329790954589844,N/A,N/A
2024/02/24 18:44:06.386,-5.3485107421875,N/A,N/A
2024/02/24 18:44:07.366,-4.19635238647461,N/A,N/A
2024/02/24 18:44:08.444,-4.280591430664063,N/A,N/A
2024/02/24 18:44:09.424,-3.4261668395996097,N/A,N/A
2024/02/24 18:44:09.497,N/A,N/A,-0.415
2024/02/24 18:44:10.073,N/A,N/A,-0.317
2024/02/24 18:44:10.404,-3.037062683105469,2.221414794921875,N/A
2024/02/24 18:44:10.647,N/A,N/A,-0.311
2024/02/24 18:44:11.208,N/A,N/A,-0.309
2024/02/24 18:44:11.384,-2.8569961547851563,2.3422019958496096,N/A
2024/02/24 18:44:11.766,N/A,N/A,-0.313
2024/02/24 18:44:12.312,N/A,N/A,-0.163
2024/02/24 18:44:12.364,-1.56176513671875,2.249048767089844,N/A
2024/02/24 18:44:12.910,N/A,N/A,-0.161
2024/02/24 18:44:13.442,-1.4980287170410156,2.328385009765625,N/A
2024/02/24 18:44:13.492,N/A,N/A,-0.165
2024/02/24 18:44:14.050,N/A,N/A,-0.065
2024/02/24 18:44:14.422,-0.2696540832519531,2.215620574951172,N/A
2024/02/24 18:44:14.608,N/A,N/A,-0.067
2024/02/24 18:44:15.176,N/A,N/A,-0.063
2024/02/24 18:44:15.402,-0.16936950683593752,2.2949568176269532,N/A
2024/02/24 18:44:16.382,-0.24514007568359375,2.2365689086914062,N/A
2024/02/24 18:44:17.362,1.0937704467773437,2.201357879638672,N/A
2024/02/24 18:44:18.440,1.9263552856445314,2.044022521972656,N/A
2024/02/24 18:44:19.420,2.5726336669921874,2.122913055419922,N/A
