Timestamp,SCOP:AMRF:RF01:AI_MEAS1,SCOP:AMRF:RF03:AI_MEAS4,SCOP:AMRF:RF03:AI_MEAS4,SCOP:AMRF:RF03:AI_MEAS1,SCOP:AMRF:RF01:AI_MEAS4,SCOP:AMRF:RF01:AI_MEAS2,SCOP:AMRF:RF01:AI_MEAS3,SCOP:AMRF:RF03:AI_MEAS2,SCOP:AMRF:RF03:AI_MEAS3
2024/04/01 14:07:13.498,N/A,N/A,N/A,N/A,N/A,-0.095,-0.105,N/A,N/A
2024/04/01 14:07:13.556,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.083,-0.089
2024/04/01 14:07:14.041,N/A,N/A,N/A,N/A,-0.087,-0.101,-0.111,N/A,N/A
2024/04/01 14:07:14.114,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,-0.087,-0.095
2024/04/01 14:07:14.620,N/A,N/A,N/A,N/A,-0.085,-0.099,-0.109,N/A,N/A
2024/04/01 14:07:15.246,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.085,-0.093
2024/04/01 14:07:15.855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.091
2024/04/01 14:07:16.269,N/A,N/A,N/A,N/A,-0.087,N/A,N/A,N/A,N/A
2024/04/01 14:07:16.415,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,-0.087,-0.095
2024/04/01 14:07:16.875,N/A,N/A,N/A,N/A,-0.089,-0.101,-0.113,N/A,N/A
2024/04/01 14:07:16.956,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.083,-0.091
2024/04/01 14:07:17.445,N/A,N/A,N/A,N/A,-0.087,-0.099,-0.111,N/A,N/A
2024/04/01 14:07:18.575,N/A,N/A,N/A,N/A,-0.081,-0.095,-0.107,N/A,N/A
2024/04/01 14:07:19.088,N/A,N/A,N/A,N/A,-0.085,-0.097,-0.109,N/A,N/A
2024/04/01 14:07:19.112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.085,N/A
2024/04/01 14:07:19.652,N/A,N/A,N/A,N/A,-0.087,-0.099,-0.111,N/A,N/A
2024/04/01 14:07:19.670,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.083,N/A
2024/04/01 14:07:20.215,N/A,N/A,N/A,N/A,-0.081,-0.093,-0.103,N/A,N/A
2024/04/01 14:07:20.248,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.085,N/A
2024/04/01 14:07:20.806,N/A,N/A,N/A,N/A,-0.085,-0.099,-0.109,N/A,N/A
2024/04/01 14:07:20.854,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,N/A,N/A
2024/04/01 14:07:21.363,N/A,N/A,N/A,N/A,N/A,-0.095,-0.105,N/A,N/A
2024/04/01 14:07:21.432,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.093
2024/04/01 14:07:21.922,N/A,N/A,N/A,N/A,N/A,-0.097,-0.109,N/A,N/A
2024/04/01 14:07:21.954,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,-0.087,-0.095
2024/04/01 14:07:22.444,N/A,N/A,N/A,N/A,-0.083,-0.095,-0.107,N/A,N/A
2024/04/01 14:07:22.501,N/A,N/A,N/A,-0.099,N/A,N/A,N/A,-0.081,-0.089
2024/04/01 14:07:22.993,N/A,N/A,N/A,N/A,-0.087,-0.099,-0.109,N/A,N/A
2024/04/01 14:07:23.057,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.085,-0.091
2024/04/01 14:07:23.507,N/A,N/A,N/A,N/A,-0.085,N/A,N/A,N/A,N/A
2024/04/01 14:07:23.606,N/A,N/A,N/A,-0.097,N/A,N/A,N/A,-0.081,-0.085
2024/04/01 14:07:24.155,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.085,-0.091
2024/04/01 14:07:25.300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.093
